Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,Weather_Condition,Junction,Crossing,Railway_Crossing,Stop_Sign,Speed_Breaker,Severity
Rural,Damaged,87.10791250617234,80,Car,23.374982585607732,27.99799326544023,464.6564030462085,Foggy,Crossroad,0,1,1,1,High
Rural,Wet,100.52675184898632,80,Car,16.370173320348286,34.54599737656805,191.5704647548995,Rainy,T-Junction,1,1,1,0,High
Highway,Dry,93.57930903735648,100,Bike,20.99085529881075,56.48559873736288,787.3242017790834,Foggy,Crossroad,0,1,0,1,High
Highway,Snow,88.86389744321241,100,Car,15.115723710618745,25.20412743882236,949.3966818807999,Foggy,Crossroad,1,1,1,1,High
Highway,Wet,114.23264286578524,100,Car,34.99584735208493,33.86917228062177,397.1500014975084,Rainy,Crossroad,1,1,1,1,High
Urban,Wet,83.71275879058538,60,Truck,10.939398773666758,87.38278196759988,455.256592036068,Rainy,T-Junction,1,1,1,1,High
Rural,Damaged,64.86371985702338,80,Bike,18.140470953216877,86.29900073215435,363.1857934266534,Storm,T-Junction,1,1,1,0,High
Highway,Dry,76.25058679694669,100,Bike,10.469092202235817,53.87211845650957,400.932702993814,Clear,No,1,1,0,0,Medium
Rural,Dry,67.41173715166042,80,Bus,35.89310277626781,69.86385014620464,337.5890446041227,Foggy,Crossroad,1,0,0,1,Medium
Highway,Snow,95.36181436223178,100,Bus,36.616382277289794,57.777194012955945,128.3983034789187,Storm,T-Junction,1,0,0,0,High
Urban,Snow,57.74199212610326,60,Bike,16.051576070061884,91.66108765388155,480.61652095029064,Rainy,Crossroad,0,1,1,1,High
Highway,Snow,85.51663492157537,100,Bike,32.66653415629146,38.3038532393298,86.21011073050506,Clear,Crossroad,0,0,1,1,High
Urban,Wet,58.42114298998231,60,Car,16.553213116505006,53.3207958296293,884.4474563296797,Rainy,No,1,1,0,1,Medium
Highway,Snow,85.66980332923443,100,Truck,16.83805487625825,54.1686230901005,819.8346182632682,Clear,No,0,0,0,1,Low
Rural,Dry,74.85928225209845,80,Truck,38.287291117375574,45.856234561660415,523.6027155259325,Clear,No,0,1,0,1,Low
Highway,Wet,87.96584096167572,100,Bus,30.889128185193652,76.98164719395535,156.60606065386588,Storm,T-Junction,1,0,0,0,High
Urban,Wet,67.16631149150291,60,Bus,17.186856720009175,31.591589767297847,494.5582326747874,Rainy,Crossroad,1,1,1,0,High
Rural,Snow,76.11457032891664,80,Bus,31.846490458355788,49.422650617540256,635.9827722876437,Foggy,No,1,1,0,0,Medium
Highway,Dry,111.84509207126008,100,Bus,19.778767156056542,37.61928380524387,714.0380371136376,Foggy,T-Junction,0,0,1,1,Medium
Rural,Damaged,86.47234194894563,80,Car,38.101899662102035,31.00167553167946,347.65568753975595,Clear,Crossroad,0,1,0,0,High
Urban,Wet,60.19550849649826,60,Bike,17.82487524491227,99.70029598063394,965.7651577759057,Foggy,T-Junction,0,0,1,0,High
Rural,Dry,85.66654387959638,80,Car,31.778670366107182,91.76882079620617,888.2155600224661,Foggy,Crossroad,1,0,1,1,High
Rural,Dry,92.80996679742351,80,Bus,21.16848299685229,95.21067539662228,973.9271983877642,Storm,T-Junction,1,1,1,1,High
Urban,Wet,86.82890785988194,60,Bike,16.728079283816793,76.97433770780287,244.87659662183208,Storm,No,0,1,1,1,High
Rural,Snow,89.51360444396434,80,Car,29.089978545576862,40.03694548844673,593.9721390849385,Storm,No,1,0,0,1,High
Rural,Snow,125.9164282156739,80,Truck,29.353100860916946,73.51392477304798,865.525889421184,Clear,T-Junction,1,0,1,0,High
Rural,Damaged,79.82625020327009,80,Car,18.38681025390276,90.67952178130072,750.2415861584398,Storm,No,0,1,0,0,Medium
Urban,Dry,62.85898057671784,60,Bike,12.260387680183847,44.45576154297455,199.00192083884255,Foggy,No,0,1,0,1,High
Urban,Dry,69.45112407901512,60,Truck,12.915294813123056,69.20057813593358,990.1533116032207,Foggy,T-Junction,1,0,0,1,High
Urban,Wet,86.44406208454842,60,Car,14.098639943260864,76.71287975280949,557.2917771388287,Storm,No,1,0,1,0,High
Urban,Dry,51.66082653338074,60,Bus,36.598514468519795,22.209341749896375,583.0762465524831,Clear,T-Junction,1,0,0,1,Low
Rural,Dry,78.08397757304171,80,Truck,18.596237563848533,67.26666084552086,40.195247439658935,Foggy,T-Junction,1,1,1,0,High
Urban,Snow,51.88071837540049,60,Bus,38.95755491172309,56.581212929098285,843.6028442618616,Clear,No,1,1,1,0,Medium
Rural,Snow,91.65234506638404,80,Bus,39.08610601342477,77.16760833439616,50.65684160019703,Storm,No,1,0,0,1,High
Urban,Snow,48.42271383364867,60,Truck,15.198829602125373,32.514963413686885,257.74046918294937,Clear,T-Junction,1,1,1,0,Medium
Highway,Dry,124.91952595912231,100,Car,32.13690750087305,64.34832420091206,615.6035387720087,Storm,No,0,0,1,1,Medium
Rural,Dry,76.43912058189997,80,Truck,12.935024819530044,59.32927000934659,478.73705307276003,Clear,No,0,1,1,0,Low
Rural,Wet,108.08008520708457,80,Truck,36.60041161894142,40.87148986733712,25.1514948874809,Rainy,No,0,1,1,0,High
Highway,Dry,117.58653673588364,100,Bus,30.31505027148945,65.86936333375466,137.21534970157109,Storm,Crossroad,0,0,0,0,High
Rural,Dry,87.97100016440494,80,Car,16.20053079630236,41.916890185690704,222.44322851129039,Storm,T-Junction,1,1,0,0,High
Urban,Snow,73.27485700779998,60,Bike,10.698158072074776,85.15747860711487,289.03622702566594,Clear,T-Junction,1,1,0,1,High
Highway,Snow,93.03205377032549,100,Car,34.10442791154546,42.562765805704515,185.6651483419256,Storm,No,0,1,1,0,High
Highway,Snow,107.38211550904992,100,Bus,36.013498216291666,64.94933537150189,246.21089119243678,Storm,T-Junction,0,0,0,0,High
Rural,Dry,57.088210612483834,80,Truck,25.157571173435713,86.11659728861933,326.8491050203056,Clear,No,0,0,0,1,Low
Highway,Dry,104.86249528732664,100,Bike,38.51821440812668,65.87503104986288,635.5188400481013,Storm,No,0,0,0,1,High
Highway,Damaged,98.04785418448473,100,Bike,33.74737131177545,83.16945142356431,100.29404201820347,Clear,No,1,1,0,1,High
Rural,Wet,107.20499863818361,80,Car,39.059558319224045,75.04240081400312,838.5942354950001,Foggy,Crossroad,0,0,1,0,High
